date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:49:01	2153/2153	---M--	200	added ('OK')	image/svg+xml	date:Thu,%2004%20Aug%202022%2018:29:23%20GMT	https://vhtear.com/static/assets/img/icons/common/github.svg	/storage/emulated/0/HTTrack/Websites/Restapi/vhtear.com/static/assets/img/icons/common/github.svg	(from https://vhtear.com/)
16:49:02	615/615	---M--	302	error ('Found')	text/html	date:Thu,%2029%20Dec%202022%2009:49:03%20GMT	https://vhtear.com/line_login	/storage/emulated/0/HTTrack/Websites/Restapi/vhtear.com/line_login	(from https://vhtear.com/)
16:49:03	30737/30737	---M-Z	200	added ('OK')	text/html	date:Thu,%2029%20Dec%202022%2009:49:04%20GMT	https://vhtear.com/login	/storage/emulated/0/HTTrack/Websites/Restapi/vhtear.com/login.html	(from https://vhtear.com/)
16:49:04	30683/30683	---M-Z	200	added ('OK')	text/html	date:Thu,%2029%20Dec%202022%2009:49:05%20GMT	https://vhtear.com/register	/storage/emulated/0/HTTrack/Websites/Restapi/vhtear.com/register.html	(from https://vhtear.com/)
16:49:05	33408/33408	---M--	200	added ('OK')	image/png	date:Thu,%2004%20Aug%202022%2018:29:23%20GMT	https://vhtear.com/static/assets/img/brand/new_logo_white.png	/storage/emulated/0/HTTrack/Websites/Restapi/vhtear.com/static/assets/img/brand/new_logo_white.png	(from https://vhtear.com/)
16:49:06	35534/35534	---M--	200	added ('OK')	image/png	date:Thu,%2004%20Aug%202022%2018:29:23%20GMT	https://vhtear.com/static/assets/img/brand/new_blue_vhtear.png	/storage/emulated/0/HTTrack/Websites/Restapi/vhtear.com/static/assets/img/brand/new_blue_vhtear.png	(from https://vhtear.com/)
16:49:07	558/558	---M--	200	added ('OK')	image/svg+xml	date:Thu,%2004%20Aug%202022%2018:29:23%20GMT	https://vhtear.com/static/assets/img/down-arrow-white.svg	/storage/emulated/0/HTTrack/Websites/Restapi/vhtear.com/static/assets/img/down-arrow-white.svg	(from https://vhtear.com/)
16:49:08	1100/1100	---M--	200	added ('OK')	image/svg+xml	date:Thu,%2004%20Aug%202022%2018:29:23%20GMT	https://vhtear.com/static/assets/img/down-arrow-dark.svg	/storage/emulated/0/HTTrack/Websites/Restapi/vhtear.com/static/assets/img/down-arrow-dark.svg	(from https://vhtear.com/)
16:49:09	837/837	---M--	302	error ('Found')	text/html	date:Thu,%2029%20Dec%202022%2009:49:10%20GMT	https://vhtear.com/login-google-account	/storage/emulated/0/HTTrack/Websites/Restapi/vhtear.com/login-google-account	(from https://vhtear.com/)
16:49:10	359/359	---M--	302	error ('Found')	text/html	date:Thu,%2029%20Dec%202022%2009:49:11%20GMT	https://vhtear.com/login-github	/storage/emulated/0/HTTrack/Websites/Restapi/vhtear.com/login-github	(from https://vhtear.com/)
